task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
61	62/2ac088	nf-622ac0884fcb50e5dedd6289bcaac9b8-9f4b5	calc_indices:nbr (7)	CACHED	0	2026-07-19 19:31:54.752	2m 22s	5.1s	228.7%	460.3 MB	5.9 GB	65.9 MB	6.7 MB
53	1a/d2dcaf	nf-1ad2dcafec71930b3932ac6746690287-a7778	calc_indices:savi (7)	CACHED	0	2026-07-19 19:31:59.431	10.6s	4.5s	247.9%	446.7 MB	5.8 GB	66.2 MB	7 MB
62	8e/7c2bf8	nf-8e7c2bf83b6c0dd92438d69038087add-13743	calc_indices:ndti (8)	CACHED	0	2026-07-19 19:31:54.538	12.5s	4.5s	247.3%	444 MB	5.8 GB	64.5 MB	6.5 MB
57	8b/9017de	nf-8b9017de57865935270870e1263e0d5f-643db	calc_indices:sarvi (8)	CACHED	0	2026-07-19 19:31:39.598	5.4s	4.3s	252.6%	447.7 MB	5.8 GB	64.7 MB	7.2 MB
68	64/ffbadb	nf-64ffbadb008eaffc914f401fa5ef2443-0c77a	calc_indices:savi (8)	CACHED	0	2026-07-19 19:32:04.586	13.4s	4.5s	249.8%	446.3 MB	5.8 GB	64.6 MB	6.9 MB
47	3f/ee2ae8	nf-3fee2ae808809c3341aa3dc85f655608-9c8e2	calc_indices:arvi (7)	CACHED	0	2026-07-19 19:31:59.562	6.4s	4.7s	242.8%	421.4 MB	5.8 GB	66.2 MB	7.1 MB
71	53/8b93ed	nf-538b93eda0310ece41ea83e5d184b8fd-3a131	calc_indices:ndvi (8)	CACHED	0	2026-07-19 19:31:44.553	14.4s	4.7s	243.7%	416.6 MB	5.8 GB	64.5 MB	6.7 MB
59	9e/5de322	nf-9e5de322b84f81e128113facc627a42b-f3f07	explode_base_files:explode_pr (10)	CACHED	0	2026-07-19 19:32:24.443	2.6s	419ms	880.9%	3.3 MB	10.4 MB	5.2 MB	14 KB
60	7d/94c50a	nf-7d94c50aa7aabfdf8d0ee2379994d602-05ef4	calc_indices:evi (8)	CACHED	0	2026-07-19 19:32:09.446	6.6s	3.8s	278.9%	483.5 MB	5.9 GB	64.7 MB	7 MB
72	69/fa578b	nf-69fa578bf911f26f038314113f8bdb64-df761	calc_indices:nbr (9)	CACHED	0	2026-07-19 19:32:24.661	14.3s	4.6s	245.6%	422.8 MB	5.8 GB	64.4 MB	6.6 MB
82	6b/0146e3	nf-6b0146e3af1c59dd1d6790d817a6ecab-e58fc	calc_indices:savi (10)	CACHED	0	2026-07-19 19:32:39.526	14.5s	4.4s	251.1%	446.8 MB	5.8 GB	64.5 MB	6.8 MB
65	a9/1c767d	nf-a91c767d79d01a46c91ca12a094818b9-6908c	calc_indices:arvi (9)	CACHED	0	2026-07-19 19:32:34.491	6.5s	4.6s	245.5%	445.9 MB	5.8 GB	64.6 MB	7 MB
58	27/a8c27f	nf-27a8c27f67f2a89b30b8a98a9dbd4578-03573	calc_indices:ndvi (7)	CACHED	0	2026-07-19 19:31:49.458	11.5s	5.2s	226.5%	452.8 MB	5.9 GB	66.2 MB	6.8 MB
77	18/319bc7	nf-18319bc78418bd9fb37551bf4b61fe91-fb408	calc_indices:sarvi (10)	CACHED	0	2026-07-19 19:32:19.552	14.4s	4.4s	250.5%	446.9 MB	5.8 GB	64.8 MB	7.2 MB
76	b9/751160	nf-b9751160f3f663f80167eb7fef52bfa0-a62dc	calc_indices:ndti (10)	CACHED	0	2026-07-19 19:32:24.542	6.5s	4.5s	248.8%	444.6 MB	5.8 GB	64.4 MB	6.5 MB
70	c1/8cbfdc	nf-c18cbfdc0512712cfe0b1ccc44bde94a-3bcdc	explode_base_files:explode_pr (11)	CACHED	0	2026-07-19 19:32:39.663	1m 29s	355ms	1018.4%	3.2 MB	10.4 MB	5.2 MB	14 KB
73	8c/a97926	nf-8ca97926a60ac371c2075cd87d2b6d96-527dd	calc_indices:ndvi (9)	CACHED	0	2026-07-19 19:32:14.473	4.5s	4.5s	248.2%	440.2 MB	5.8 GB	64.4 MB	6.6 MB
66	67/88361a	nf-6788361a80a9a1d8a7d31e92795dee7c-12417	calc_indices:sarvi (9)	CACHED	0	2026-07-19 19:32:19.477	7.5s	4.7s	239.5%	541.8 MB	5.9 GB	64.7 MB	7.2 MB
75	23/839bce	nf-23839bcebf94da49b7070d374f443ffe-19b59	calc_indices:evi (9)	CACHED	0	2026-07-19 19:32:29.478	7.5s	5s	232.7%	461.3 MB	5.9 GB	64.7 MB	7.2 MB
64	7a/6b97bb	nf-7a6b97bbe27230c231fa5ed9d5c116c6-7e376	calc_indices:nbr (8)	CACHED	0	2026-07-19 19:32:14.684	1m 57s	5.2s	227.8%	448.9 MB	5.8 GB	64.6 MB	6.7 MB
67	b6/de17c9	nf-b6de17c9241deed1f32aa8ce83541359-efeca	calc_indices:ndti (9)	CACHED	0	2026-07-19 19:32:24.595	12.4s	4.8s	240.4%	489.9 MB	5.9 GB	64.4 MB	6.5 MB
69	b5/5edd6c	nf-b55edd6c1ca2562d9ffddfe02117c7ee-761cb	calc_indices:savi (9)	CACHED	0	2026-07-19 19:32:29.566	5.4s	4.7s	242.5%	502.5 MB	5.9 GB	64.4 MB	6.8 MB
78	87/17c397	nf-8717c397a1e6fbb963930a0c6cfd2c99-1f00c	calc_indices:arvi (10)	CACHED	0	2026-07-19 19:32:39.463	13.5s	5s	234.8%	457.7 MB	5.9 GB	64.8 MB	7.1 MB
