task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
101	9f/6190b4	nf-9f6190b465daf0c3b1939682d9743a74-dd8f7	explode_base_files:explode_pr (15)	CACHED	0	2026-07-19 19:34:19.531	7.5s	384ms	946.0%	13.2 MB	59.7 MB	5.2 MB	14 KB
102	ff/ccccbd	nf-ffccccbda954c30ed8687862a7b68c06-5b711	calc_indices:ndti (13)	CACHED	0	2026-07-19 19:33:39.510	13.5s	4.7s	240.9%	529.6 MB	5.9 GB	65.4 MB	6.2 MB
109	d4/d96718	nf-d4d9671823bba2162e784cfeb0a37350-b7c2e	calc_indices:ndvi (14)	CACHED	0	2026-07-19 19:33:24.720	5.3s	4.7s	242.8%	531.9 MB	5.9 GB	64.5 MB	6.6 MB
111	8b/d963ca	nf-8bd963ca99b6b3cbc2c0bf4869d9395f-28cb3	calc_indices:evi (14)	CACHED	0	2026-07-19 19:34:09.506	9.5s	4.4s	252.1%	446.3 MB	5.8 GB	64.8 MB	7.1 MB
113	53/bb1771	nf-53bb1771d7ed9d60a3c88cfed901a2f7-06764	calc_indices:ndti (14)	CACHED	0	2026-07-19 19:33:44.588	10.4s	5.9s	198.0%	491.6 MB	5.9 GB	64.5 MB	6.6 MB
106	e5/f26172	nf-e5f26172655fd1e34b9d4d5951f104de-ad9f1	calc_indices:nbr (14)	CACHED	0	2026-07-19 19:34:24.516	5.5s	4.3s	254.9%	447.3 MB	5.8 GB	64.5 MB	6.6 MB
117	80/3e1003	nf-803e1003cba79a6aed213b6e9b1aa12d-af026	calc_indices:sarvi (15)	CACHED	0	2026-07-19 19:34:19.572	15.4s	4.8s	238.8%	542 MB	5.9 GB	65.8 MB	7.1 MB
114	aa/eed063	nf-aaeed0632861e140d360c9deeca0279f-98721	calc_indices:ndvi (15)	CACHED	0	2026-07-19 19:34:04.576	8.4s	4.6s	247.1%	444.9 MB	5.8 GB	65.7 MB	6.8 MB
118	cc/8fba7e	nf-cc8fba7eed0b75127387861eaeec97c2-60ca2	calc_indices:arvi (15)	CACHED	0	2026-07-19 19:34:29.519	4.5s	4.5s	250.4%	446 MB	5.8 GB	65.7 MB	7 MB
107	52/587e2a	nf-52587e2a1c77cdcee3795363a5de6c99-a9c0d	calc_indices:sarvi (14)	CACHED	0	2026-07-19 19:33:34.590	6.4s	5.2s	228.2%	450.6 MB	5.8 GB	64.7 MB	7.2 MB
